Xã/Phường,Quận/Huyện,Tỉnh/Thành phố,Chủ đầu tư,Tên dự án,Phân loại,Diện tích,Mức giá,Số phòng ngủ,Số toilet,Pháp lý,Nội thất,Mặt tiền,Hướng nhà,Hướng ban công,Thông tin khác,Lịch sử giá,Khoảng giá
Phường Xuân Đỉnh,Bắc Từ Liêm,Hà Nội,Không có thông tin,Không có thông tin,Bán đất tại đường Xuân Đỉnh,136 m²,"22,9 tỷ",Không có thông tin,Không có thông tin,Sổ đỏ/ Sổ hồng,Không có thông tin,"5,2 m",Không có thông tin,Không có thông tin,"Đường vào: 4,5 m",Giá T10/22: 138 tr/m²; Giá T11/22: 131 tr/m²; Giá T12/22: 109 tr/m²; Giá T1/23: 104 tr/m²; Giá T2/23: 92 tr/m²; Giá T3/23: 86 tr/m²; Giá T4/23: 104 tr/m²; Giá T5/23: 99 tr/m²; Giá T6/23: 103 tr/m²; Giá T7/23: 108 tr/m²; Giá T8/23: 103 tr/m²; Giá T9/23: 120 tr/m²; Giá T10/23: 118 tr/m²; Giá T11/23: 123 tr/m²; Giá T12/23: 118 tr/m²; Giá T1/24: 144 tr/m²; Giá T2/24: 127 tr/m²; Giá T3/24: 138 tr/m²; Giá T4/24: 116 tr/m²; Giá T5/24: 140 tr/m²; Giá T6/24: 155 tr/m²; Giá T7/24: 160 tr/m²; Giá T8/24: 166 tr/m²; Giá T9/24: 158 tr/m²; Giá T10/24: 168 tr/m²;  ,73 260; 70 272; 68 239; 79 167; 68 181; 65 134; 70 169; 60 173; 70 188; 73 189; 75 171; 80 194; 74 217; 85 228; 87 203; 86 257; 77 200; 89 253; 88 171; 87 244; 96 285; 100 284; 96 274; 96 283; 115 266
Phường Đông Ngạc,Bắc Từ Liêm,Hà Nội,Không có thông tin,Không có thông tin,Bán đất tại đường Đông Thắng,61 m²,"7,63 tỷ",Không có thông tin,Không có thông tin,Sổ đỏ/ Sổ hồng,Không có thông tin,"3,84 m",Không có thông tin,Không có thông tin,"Đường vào: 2,5 m",Giá T10/22: 69 tr/m²; Giá T11/22: 65 tr/m²; Giá T12/22: 74 tr/m²; Giá T1/23: 78 tr/m²; Giá T2/23: 74 tr/m²; Giá T3/23: 64 tr/m²; Giá T4/23: 76 tr/m²; Giá T5/23: 76 tr/m²; Giá T6/23: 70 tr/m²; Giá T7/23: 72 tr/m²; Giá T8/23: 72 tr/m²; Giá T9/23: 75 tr/m²; Giá T10/23: 66 tr/m²; Giá T11/23: 70 tr/m²; Giá T12/23: 72 tr/m²; Giá T1/24: 79 tr/m²; Giá T2/24: 74 tr/m²; Giá T3/24: 85 tr/m²; Giá T4/24: 87 tr/m²; Giá T5/24: 102 tr/m²; Giá T6/24: 114 tr/m²; Giá T7/24: 116 tr/m²; Giá T8/24: 113 tr/m²; Giá T9/24: 116 tr/m²; Giá T10/24: 109 tr/m²;  ,42 107; 42 110; 51 132; 59 114; 58 95; 47 96; 53 130; 46 126; 54 89; 60 87; 57 88; 59 117; 50 103; 55 103; 52 104; 65 104; 48 107; 60 142; 56 187; 73 185; 81 195; 81 213; 54 222; 76 167; 76 175
Phường Đông Ngạc,Bắc Từ Liêm,Hà Nội,Không có thông tin,Không có thông tin,Bán đất tại đường Phạm Văn Đồng,52 m²,"3,95 tỷ",Không có thông tin,Không có thông tin,Sổ đỏ/ Sổ hồng,Không có thông tin,Không có thông tin,Không có thông tin,Không có thông tin,Không có thông tin,Giá T10/22: 69 tr/m²; Giá T11/22: 65 tr/m²; Giá T12/22: 74 tr/m²; Giá T1/23: 78 tr/m²; Giá T2/23: 74 tr/m²; Giá T3/23: 64 tr/m²; Giá T4/23: 76 tr/m²; Giá T5/23: 76 tr/m²; Giá T6/23: 70 tr/m²; Giá T7/23: 72 tr/m²; Giá T8/23: 72 tr/m²; Giá T9/23: 75 tr/m²; Giá T10/23: 66 tr/m²; Giá T11/23: 70 tr/m²; Giá T12/23: 72 tr/m²; Giá T1/24: 79 tr/m²; Giá T2/24: 74 tr/m²; Giá T3/24: 85 tr/m²; Giá T4/24: 87 tr/m²; Giá T5/24: 102 tr/m²; Giá T6/24: 114 tr/m²; Giá T7/24: 116 tr/m²; Giá T8/24: 113 tr/m²; Giá T9/24: 116 tr/m²; Giá T10/24: 109 tr/m²;  ,42 107; 42 110; 51 132; 59 114; 58 95; 47 96; 53 130; 46 126; 54 89; 60 87; 57 88; 59 117; 50 103; 55 103; 52 104; 65 104; 48 107; 60 142; 56 187; 73 185; 81 195; 81 213; 54 222; 76 167; 76 175
Phường Thắng Lợi,Sông Công,Thái Nguyên.,Đang cập nhật,Khu đô thị Thiên Lộc,Đất nền dự án tại Khu đô thị Thiên Lộc,100 m²,"6,8 triệu/m²",Không có thông tin,Không có thông tin,Đang chờ sổ.,Không có thông tin,5 m,Không có thông tin,Không có thông tin,Đường vào: 15 m,Không có dữ liệu lịch sử giá,Không có dữ liệu lịch sử khoảng giá
Phường Cổ Nhuế 2,Bắc Từ Liêm,Hà Nội,Không có thông tin,Không có thông tin,Bán đất tại đường Phạm Văn Nghị,35 m²,"5,75 tỷ",Không có thông tin,Không có thông tin,Sổ đỏ/ Sổ hồng,Không có thông tin,"3,8 m",Nam,Không có thông tin,Đường vào: 4 m,Giá Q3/22: 108 tr/m²; Giá Q3/22: 108 tr/m²; Giá Q4/22: 89 tr/m²; Giá Q4/22: 89 tr/m²; Giá Q4/22: 89 tr/m²; Giá Q1/23: 96 tr/m²; Giá Q1/23: 96 tr/m²; Giá Q1/23: 96 tr/m²; Giá Q2/23: 109 tr/m²; Giá Q2/23: 109 tr/m²; Giá Q2/23: 109 tr/m²; Giá Q3/23: 96 tr/m²; Giá Q3/23: 96 tr/m²; Giá Q3/23: 96 tr/m²; Giá Q4/23: 88 tr/m²; Giá Q4/23: 88 tr/m²; Giá Q4/23: 88 tr/m²; Giá Q1/24: 96 tr/m²; Giá Q1/24: 96 tr/m²; Giá Q1/24: 96 tr/m²; Giá Q2/24: 104 tr/m²; Giá Q2/24: 104 tr/m²; Giá Q2/24: 104 tr/m²; Giá Q3/24: 135 tr/m²; Giá Q3/24: 135 tr/m²;  ,69 229; 69 229; 68 122; 68 122; 68 122; 69 157; 69 157; 69 157; 80 172; 80 172; 80 172; 79 127; 79 127; 79 127; 59 123; 59 123; 59 123; 62 141; 62 141; 62 141; 81 150; 81 150; 81 150; 102 216; 102 216
Phường Cổ Nhuế 1,Bắc Từ Liêm,Hà Nội,Không có thông tin,Không có thông tin,Bán đất tại đường Phạm Văn Đồng,771 m²,"237,7 tỷ",Không có thông tin,Không có thông tin,Sổ đỏ/ Sổ hồng,Không có thông tin,"17,7 m",Tây - Nam,Không có thông tin,Đường vào: 50 m,Giá T10/22: 116 tr/m²; Giá T11/22: 88 tr/m²; Giá T12/22: 83 tr/m²; Giá T1/23: 94 tr/m²; Giá T2/23: 106 tr/m²; Giá T3/23: 105 tr/m²; Giá T4/23: 116 tr/m²; Giá T5/23: 85 tr/m²; Giá T6/23: 121 tr/m²; Giá T7/23: 96 tr/m²; Giá T8/23: 141 tr/m²; Giá T9/23: 99 tr/m²; Giá T10/23: 110 tr/m²; Giá T11/23: 130 tr/m²; Giá T12/23: 109 tr/m²; Giá T1/24: 136 tr/m²; Giá T2/24: 128 tr/m²; Giá T3/24: 116 tr/m²; Giá T4/24: 120 tr/m²; Giá T5/24: 120 tr/m²; Giá T6/24: 142 tr/m²; Giá T7/24: 144 tr/m²; Giá T8/24: 156 tr/m²; Giá T9/24: 146 tr/m²; Giá T10/24: 147 tr/m²;  ,73 212; 38 182; 68 132; 25 223; 72 242; 68 191; 71 266; 67 123; 60 264; 60 183; 85 248; 66 198; 79 229; 70 276; 83 204; 68 232; 83 233; 72 251; 86 225; 96 163; 96 280; 107 262; 107 256; 115 270; 106 218
Phường Đông Ngạc,Bắc Từ Liêm,Hà Nội,Không có thông tin,Không có thông tin,Bán đất tại đường Đông Ngạc,40 m²,"3,1 tỷ",Không có thông tin,Không có thông tin,Sổ đỏ/ Sổ hồng,Không có thông tin,"3,6 m",Không có thông tin,Không có thông tin,Không có thông tin,Giá T10/22: 69 tr/m²; Giá T11/22: 65 tr/m²; Giá T12/22: 74 tr/m²; Giá T1/23: 78 tr/m²; Giá T2/23: 74 tr/m²; Giá T3/23: 64 tr/m²; Giá T4/23: 76 tr/m²; Giá T5/23: 76 tr/m²; Giá T6/23: 70 tr/m²; Giá T7/23: 72 tr/m²; Giá T8/23: 72 tr/m²; Giá T9/23: 75 tr/m²; Giá T10/23: 66 tr/m²; Giá T11/23: 70 tr/m²; Giá T12/23: 72 tr/m²; Giá T1/24: 79 tr/m²; Giá T2/24: 74 tr/m²; Giá T3/24: 85 tr/m²; Giá T4/24: 87 tr/m²; Giá T5/24: 102 tr/m²; Giá T6/24: 114 tr/m²; Giá T7/24: 116 tr/m²; Giá T8/24: 113 tr/m²; Giá T9/24: 116 tr/m²; Giá T10/24: 109 tr/m²;  ,42 107; 42 110; 51 132; 59 114; 58 95; 47 96; 53 130; 46 126; 54 89; 60 87; 57 88; 59 117; 50 103; 55 103; 52 104; 65 104; 48 107; 60 142; 56 187; 73 185; 81 195; 81 213; 54 222; 76 167; 76 175
Phường Thụy Phương,Bắc Từ Liêm,Hà Nội,Không có thông tin,Không có thông tin,Bán đất tại đường Thụy Phương,52 m²,"3,95 tỷ",Không có thông tin,Không có thông tin,Sổ đỏ/ Sổ hồng,Không có thông tin,Không có thông tin,Nam,Không có thông tin,Không có thông tin,Giá T10/22: 64 tr/m²; Giá T11/22: 62 tr/m²; Giá T12/22: 67 tr/m²; Giá T1/23: 67 tr/m²; Giá T2/23: 64 tr/m²; Giá T3/23: 56 tr/m²; Giá T4/23: 90 tr/m²; Giá T5/23: 65 tr/m²; Giá T6/23: 69 tr/m²; Giá T7/23: 64 tr/m²; Giá T8/23: 64 tr/m²; Giá T9/23: 66 tr/m²; Giá T10/23: 72 tr/m²; Giá T11/23: 73 tr/m²; Giá T12/23: 67 tr/m²; Giá T1/24: 76 tr/m²; Giá T2/24: 71 tr/m²; Giá T3/24: 77 tr/m²; Giá T4/24: 70 tr/m²; Giá T5/24: 82 tr/m²; Giá T6/24: 89 tr/m²; Giá T7/24: 88 tr/m²; Giá T8/24: 94 tr/m²; Giá T9/24: 94 tr/m²; Giá T10/24: 93 tr/m²;  ,52 82; 49 84; 50 77; 51 90; 49 80; 38 78; 58 150; 46 77; 52 104; 53 74; 51 82; 50 80; 59 113; 59 88; 47 95; 57 104; 62 90; 56 96; 60 97; 64 120; 68 126; 67 128; 67 124; 64 143; 64 130
Phường Thắng Lợi,Sông Công,Thái Nguyên.,Đang cập nhật,Khu đô thị Thiên Lộc,Đất nền dự án tại Khu đô thị Thiên Lộc,100 m²,"6,8 triệu/m²",Không có thông tin,Không có thông tin,Sổ đỏ/ Sổ hồng.,Không có thông tin,5 m,Đông - Nam,Không có thông tin,Đường vào: 15 m,Không có dữ liệu lịch sử giá,Không có dữ liệu lịch sử khoảng giá
Phường Minh Khai,Bắc Từ Liêm,Hà Nội,Không có thông tin,Không có thông tin,Bán đất tại đường Phú Minh,36 m²,"3,6 tỷ",Không có thông tin,Không có thông tin,Sổ đỏ/ Sổ hồng,Không có thông tin,3 m,Nam,Không có thông tin,Đường vào: 8 m,Giá T10/22: 86 tr/m²; Giá T11/22: 78 tr/m²; Giá T12/22: 66 tr/m²; Giá T1/23: 81 tr/m²; Giá T2/23: 71 tr/m²; Giá T3/23: 69 tr/m²; Giá T4/23: 62 tr/m²; Giá T5/23: 67 tr/m²; Giá T6/23: 61 tr/m²; Giá T7/23: 66 tr/m²; Giá T8/23: 73 tr/m²; Giá T9/23: 68 tr/m²; Giá T10/23: 74 tr/m²; Giá T11/23: 62 tr/m²; Giá T12/23: 69 tr/m²; Giá T1/24: 69 tr/m²; Giá T2/24: 74 tr/m²; Giá T3/24: 87 tr/m²; Giá T4/24: 91 tr/m²; Giá T5/24: 94 tr/m²; Giá T6/24: 100 tr/m²; Giá T7/24: 100 tr/m²; Giá T8/24: 108 tr/m²; Giá T9/24: 123 tr/m²; Giá T10/24: 124 tr/m²;  ,57 140; 55 124; 49 118; 54 146; 51 128; 48 104; 48 85; 48 86; 47 80; 50 87; 52 111; 52 106; 52 121; 50 81; 52 91; 51 91; 52 99; 59 168; 59 135; 61 146; 65 151; 64 156; 63 178; 63 210; 65 193
Phường Phú Diễn,Bắc Từ Liêm,Hà Nội,Không có thông tin,Không có thông tin,Bán đất tại đường Hồ Tùng Mậu,58 m²,"14,1 tỷ",Không có thông tin,Không có thông tin,Sổ đỏ/ Sổ hồng,Không có thông tin,"5,5 m",Không có thông tin,Không có thông tin,Không có thông tin,Giá T10/22: 90 tr/m²; Giá T11/22: 97 tr/m²; Giá T12/22: 100 tr/m²; Giá T1/23: 113 tr/m²; Giá T2/23: 89 tr/m²; Giá T3/23: 88 tr/m²; Giá T4/23: 84 tr/m²; Giá T5/23: 76 tr/m²; Giá T6/23: 79 tr/m²; Giá T7/23: 82 tr/m²; Giá T8/23: 81 tr/m²; Giá T9/23: 80 tr/m²; Giá T10/23: 82 tr/m²; Giá T11/23: 90 tr/m²; Giá T12/23: 99 tr/m²; Giá T1/24: 88 tr/m²; Giá T2/24: 99 tr/m²; Giá T3/24: 97 tr/m²; Giá T4/24: 113 tr/m²; Giá T5/24: 122 tr/m²; Giá T6/24: 132 tr/m²; Giá T7/24: 132 tr/m²; Giá T8/24: 130 tr/m²; Giá T9/24: 142 tr/m²; Giá T10/24: 158 tr/m²;  ,58 141; 57 153; 59 140; 63 176; 57 145; 57 149; 54 138; 53 127; 53 138; 53 170; 55 142; 53 156; 47 150; 52 157; 55 164; 55 147; 55 156; 60 166; 65 176; 75 189; 83 231; 78 225; 75 211; 83 231; 84 250
Phường Đông Ngạc,Bắc Từ Liêm,Hà Nội,Không có thông tin,Không có thông tin,Bán đất tại đường Đông Ngạc,96 m²,"5,9 tỷ",Không có thông tin,Không có thông tin,Sổ đỏ/ Sổ hồng,Không có thông tin,"4,1 m",Đông - Nam,Không có thông tin,Đường vào: 4 m,Giá T10/22: 69 tr/m²; Giá T11/22: 65 tr/m²; Giá T12/22: 74 tr/m²; Giá T1/23: 78 tr/m²; Giá T2/23: 74 tr/m²; Giá T3/23: 64 tr/m²; Giá T4/23: 76 tr/m²; Giá T5/23: 76 tr/m²; Giá T6/23: 70 tr/m²; Giá T7/23: 72 tr/m²; Giá T8/23: 72 tr/m²; Giá T9/23: 75 tr/m²; Giá T10/23: 66 tr/m²; Giá T11/23: 70 tr/m²; Giá T12/23: 72 tr/m²; Giá T1/24: 79 tr/m²; Giá T2/24: 74 tr/m²; Giá T3/24: 85 tr/m²; Giá T4/24: 87 tr/m²; Giá T5/24: 102 tr/m²; Giá T6/24: 114 tr/m²; Giá T7/24: 116 tr/m²; Giá T8/24: 113 tr/m²; Giá T9/24: 116 tr/m²; Giá T10/24: 109 tr/m²;  ,42 107; 42 110; 51 132; 59 114; 58 95; 47 96; 53 130; 46 126; 54 89; 60 87; 57 88; 59 117; 50 103; 55 103; 52 104; 65 104; 48 107; 60 142; 56 187; 73 185; 81 195; 81 213; 54 222; 76 167; 76 175
Phường Liên Mạc,Bắc Từ Liêm,Hà Nội,Không có thông tin,Không có thông tin,Bán đất tại đường Liên Mạc,157 m²,"14,95 tỷ",Không có thông tin,Không có thông tin,Không có thông tin,Không có thông tin,14 m,Không có thông tin,Không có thông tin,Không có thông tin,Giá T10/22: 51 tr/m²; Giá T11/22: 51 tr/m²; Giá T12/22: 54 tr/m²; Giá T1/23: 51 tr/m²; Giá T2/23: 50 tr/m²; Giá T3/23: 48 tr/m²; Giá T4/23: 48 tr/m²; Giá T5/23: 49 tr/m²; Giá T6/23: 52 tr/m²; Giá T7/23: 49 tr/m²; Giá T8/23: 53 tr/m²; Giá T9/23: 55 tr/m²; Giá T10/23: 49 tr/m²; Giá T11/23: 51 tr/m²; Giá T12/23: 50 tr/m²; Giá T1/24: 53 tr/m²; Giá T2/24: 56 tr/m²; Giá T3/24: 59 tr/m²; Giá T4/24: 63 tr/m²; Giá T5/24: 70 tr/m²; Giá T6/24: 83 tr/m²; Giá T7/24: 77 tr/m²; Giá T8/24: 73 tr/m²; Giá T9/24: 74 tr/m²; Giá T10/24: 74 tr/m²;  ,42 65; 39 69; 44 66; 41 70; 38 69; 38 63; 39 69; 36 62; 40 74; 38 67; 36 72; 42 75; 37 68; 42 65; 40 62; 41 71; 41 75; 48 80; 50 84; 55 100; 59 127; 52 118; 60 93; 64 100; 50 100
Phường Cổ Nhuế 2,Bắc Từ Liêm,Hà Nội,Không có thông tin,Không có thông tin,Bán đất tại đường Cổ Nhuế,62 m²,"8,4 tỷ",Không có thông tin,Không có thông tin,Sổ đỏ/ Sổ hồng,Không có thông tin,"4,6 m",Không có thông tin,Không có thông tin,Không có thông tin,Giá Q3/22: 108 tr/m²; Giá Q3/22: 108 tr/m²; Giá Q4/22: 89 tr/m²; Giá Q4/22: 89 tr/m²; Giá Q4/22: 89 tr/m²; Giá Q1/23: 96 tr/m²; Giá Q1/23: 96 tr/m²; Giá Q1/23: 96 tr/m²; Giá Q2/23: 109 tr/m²; Giá Q2/23: 109 tr/m²; Giá Q2/23: 109 tr/m²; Giá Q3/23: 96 tr/m²; Giá Q3/23: 96 tr/m²; Giá Q3/23: 96 tr/m²; Giá Q4/23: 88 tr/m²; Giá Q4/23: 88 tr/m²; Giá Q4/23: 88 tr/m²; Giá Q1/24: 96 tr/m²; Giá Q1/24: 96 tr/m²; Giá Q1/24: 96 tr/m²; Giá Q2/24: 104 tr/m²; Giá Q2/24: 104 tr/m²; Giá Q2/24: 104 tr/m²; Giá Q3/24: 135 tr/m²; Giá Q3/24: 135 tr/m²;  ,69 229; 69 229; 68 122; 68 122; 68 122; 69 157; 69 157; 69 157; 80 172; 80 172; 80 172; 79 127; 79 127; 79 127; 59 123; 59 123; 59 123; 62 141; 62 141; 62 141; 81 150; 81 150; 81 150; 102 216; 102 216
Phường Xuân Đỉnh,Bắc Từ Liêm,Hà Nội,Không có thông tin,Không có thông tin,Bán đất tại phường Xuân Đỉnh,45 m²,7 tỷ,Không có thông tin,Không có thông tin,Sổ đỏ/ Sổ hồng,Không có thông tin,Không có thông tin,Không có thông tin,Không có thông tin,Đường vào: 3 m,Giá T10/22: 138 tr/m²; Giá T11/22: 131 tr/m²; Giá T12/22: 109 tr/m²; Giá T1/23: 104 tr/m²; Giá T2/23: 92 tr/m²; Giá T3/23: 86 tr/m²; Giá T4/23: 104 tr/m²; Giá T5/23: 99 tr/m²; Giá T6/23: 103 tr/m²; Giá T7/23: 108 tr/m²; Giá T8/23: 103 tr/m²; Giá T9/23: 120 tr/m²; Giá T10/23: 118 tr/m²; Giá T11/23: 123 tr/m²; Giá T12/23: 118 tr/m²; Giá T1/24: 144 tr/m²; Giá T2/24: 127 tr/m²; Giá T3/24: 138 tr/m²; Giá T4/24: 116 tr/m²; Giá T5/24: 140 tr/m²; Giá T6/24: 155 tr/m²; Giá T7/24: 160 tr/m²; Giá T8/24: 166 tr/m²; Giá T9/24: 158 tr/m²; Giá T10/24: 168 tr/m²;  ,73 260; 70 272; 68 239; 79 167; 68 181; 65 134; 70 169; 60 173; 70 188; 73 189; 75 171; 80 194; 74 217; 85 228; 87 203; 86 257; 77 200; 89 253; 88 171; 87 244; 96 285; 100 284; 96 274; 96 283; 115 266
Phường Xuân Đỉnh,Bắc Từ Liêm,Hà Nội,Không có thông tin,Không có thông tin,Bán đất tại đường Xuân Đỉnh,60 m²,Thỏa thuận,Không có thông tin,Không có thông tin,Không có thông tin,Không có thông tin,Không có thông tin,Không có thông tin,Không có thông tin,Không có thông tin,Giá T10/22: 138 tr/m²; Giá T11/22: 131 tr/m²; Giá T12/22: 109 tr/m²; Giá T1/23: 104 tr/m²; Giá T2/23: 92 tr/m²; Giá T3/23: 86 tr/m²; Giá T4/23: 104 tr/m²; Giá T5/23: 99 tr/m²; Giá T6/23: 103 tr/m²; Giá T7/23: 108 tr/m²; Giá T8/23: 103 tr/m²; Giá T9/23: 120 tr/m²; Giá T10/23: 118 tr/m²; Giá T11/23: 123 tr/m²; Giá T12/23: 118 tr/m²; Giá T1/24: 144 tr/m²; Giá T2/24: 127 tr/m²; Giá T3/24: 138 tr/m²; Giá T4/24: 116 tr/m²; Giá T5/24: 140 tr/m²; Giá T6/24: 155 tr/m²; Giá T7/24: 160 tr/m²; Giá T8/24: 166 tr/m²; Giá T9/24: 158 tr/m²; Giá T10/24: 168 tr/m²;  ,73 260; 70 272; 68 239; 79 167; 68 181; 65 134; 70 169; 60 173; 70 188; 73 189; 75 171; 80 194; 74 217; 85 228; 87 203; 86 257; 77 200; 89 253; 88 171; 87 244; 96 285; 100 284; 96 274; 96 283; 115 266
Phường Xuân Đỉnh,Bắc Từ Liêm,Hà Nội,Không có thông tin,Không có thông tin,Bán đất tại đường Xuân Đỉnh,42 m²,"7,35 tỷ",Không có thông tin,Không có thông tin,Sổ đỏ/ Sổ hồng,Không có thông tin,4 m,Bắc,Không có thông tin,Không có thông tin,Giá T10/22: 138 tr/m²; Giá T11/22: 131 tr/m²; Giá T12/22: 109 tr/m²; Giá T1/23: 104 tr/m²; Giá T2/23: 92 tr/m²; Giá T3/23: 86 tr/m²; Giá T4/23: 104 tr/m²; Giá T5/23: 99 tr/m²; Giá T6/23: 103 tr/m²; Giá T7/23: 108 tr/m²; Giá T8/23: 103 tr/m²; Giá T9/23: 120 tr/m²; Giá T10/23: 118 tr/m²; Giá T11/23: 123 tr/m²; Giá T12/23: 118 tr/m²; Giá T1/24: 144 tr/m²; Giá T2/24: 127 tr/m²; Giá T3/24: 138 tr/m²; Giá T4/24: 116 tr/m²; Giá T5/24: 140 tr/m²; Giá T6/24: 155 tr/m²; Giá T7/24: 160 tr/m²; Giá T8/24: 166 tr/m²; Giá T9/24: 158 tr/m²; Giá T10/24: 168 tr/m²;  ,73 260; 70 272; 68 239; 79 167; 68 181; 65 134; 70 169; 60 173; 70 188; 73 189; 75 171; 80 194; 74 217; 85 228; 87 203; 86 257; 77 200; 89 253; 88 171; 87 244; 96 285; 100 284; 96 274; 96 283; 115 266
Phường Xuân Đỉnh,Bắc Từ Liêm,Hà Nội,Không có thông tin,Không có thông tin,Bán đất tại đường Xuân Đỉnh,54 m²,"8,2 tỷ",Không có thông tin,Không có thông tin,Sổ đỏ/ Sổ hồng,Không có thông tin,"3,8 m",Không có thông tin,Không có thông tin,Không có thông tin,Giá T10/22: 138 tr/m²; Giá T11/22: 131 tr/m²; Giá T12/22: 109 tr/m²; Giá T1/23: 104 tr/m²; Giá T2/23: 92 tr/m²; Giá T3/23: 86 tr/m²; Giá T4/23: 104 tr/m²; Giá T5/23: 99 tr/m²; Giá T6/23: 103 tr/m²; Giá T7/23: 108 tr/m²; Giá T8/23: 103 tr/m²; Giá T9/23: 120 tr/m²; Giá T10/23: 118 tr/m²; Giá T11/23: 123 tr/m²; Giá T12/23: 118 tr/m²; Giá T1/24: 144 tr/m²; Giá T2/24: 127 tr/m²; Giá T3/24: 138 tr/m²; Giá T4/24: 116 tr/m²; Giá T5/24: 140 tr/m²; Giá T6/24: 155 tr/m²; Giá T7/24: 160 tr/m²; Giá T8/24: 166 tr/m²; Giá T9/24: 158 tr/m²; Giá T10/24: 168 tr/m²;  ,73 260; 70 272; 68 239; 79 167; 68 181; 65 134; 70 169; 60 173; 70 188; 73 189; 75 171; 80 194; 74 217; 85 228; 87 203; 86 257; 77 200; 89 253; 88 171; 87 244; 96 285; 100 284; 96 274; 96 283; 115 266
Phường Đông Ngạc,Bắc Từ Liêm,Hà Nội,Không có thông tin,Không có thông tin,Bán đất tại đường Đông Ngạc,90 m²,"5,9 tỷ",Không có thông tin,Không có thông tin,Không có thông tin,Không có thông tin,"4,5 m",Không có thông tin,Không có thông tin,Không có thông tin,Giá T10/22: 69 tr/m²; Giá T11/22: 65 tr/m²; Giá T12/22: 74 tr/m²; Giá T1/23: 78 tr/m²; Giá T2/23: 74 tr/m²; Giá T3/23: 64 tr/m²; Giá T4/23: 76 tr/m²; Giá T5/23: 76 tr/m²; Giá T6/23: 70 tr/m²; Giá T7/23: 72 tr/m²; Giá T8/23: 72 tr/m²; Giá T9/23: 75 tr/m²; Giá T10/23: 66 tr/m²; Giá T11/23: 70 tr/m²; Giá T12/23: 72 tr/m²; Giá T1/24: 79 tr/m²; Giá T2/24: 74 tr/m²; Giá T3/24: 85 tr/m²; Giá T4/24: 87 tr/m²; Giá T5/24: 102 tr/m²; Giá T6/24: 114 tr/m²; Giá T7/24: 116 tr/m²; Giá T8/24: 113 tr/m²; Giá T9/24: 116 tr/m²; Giá T10/24: 109 tr/m²;  ,42 107; 42 110; 51 132; 59 114; 58 95; 47 96; 53 130; 46 126; 54 89; 60 87; 57 88; 59 117; 50 103; 55 103; 52 104; 65 104; 48 107; 60 142; 56 187; 73 185; 81 195; 81 213; 54 222; 76 167; 76 175
Phường Phúc Diễn,Bắc Từ Liêm,Hà Nội,Không có thông tin,Không có thông tin,Bán đất tại đường Kiều Mai,"58,5 m²","8,5 tỷ",Không có thông tin,Không có thông tin,Sổ đỏ/ Sổ hồng,Không có thông tin,4 m,Không có thông tin,Không có thông tin,Không có thông tin,Giá T10/22: 90 tr/m²; Giá T11/22: 107 tr/m²; Giá T12/22: 109 tr/m²; Giá T1/23: 93 tr/m²; Giá T2/23: 97 tr/m²; Giá T3/23: 90 tr/m²; Giá T4/23: 78 tr/m²; Giá T5/23: 83 tr/m²; Giá T6/23: 85 tr/m²; Giá T7/23: 85 tr/m²; Giá T8/23: 89 tr/m²; Giá T9/23: 81 tr/m²; Giá T10/23: 95 tr/m²; Giá T11/23: 86 tr/m²; Giá T12/23: 98 tr/m²; Giá T1/24: 81 tr/m²; Giá T2/24: 102 tr/m²; Giá T3/24: 109 tr/m²; Giá T4/24: 120 tr/m²; Giá T5/24: 134 tr/m²; Giá T6/24: 131 tr/m²; Giá T7/24: 128 tr/m²; Giá T8/24: 140 tr/m²; Giá T9/24: 153 tr/m²; Giá T10/24: 163 tr/m²;  ,57 150; 57 153; 58 223; 57 145; 63 146; 55 134; 54 131; 54 146; 54 155; 53 144; 55 144; 55 147; 55 150; 53 150; 55 151; 54 140; 54 161; 60 177; 65 185; 68 192; 71 220; 68 212; 68 355; 68 266; 82 258
